A: TGF.Non.v.CON.Non.TT,,,,,,,,,,,,,,,,,,,
B: TpS.Non.v.TGF.Non.TT,,,,,,,,,,,,,,,,,,,
C: TpK.Non.v.TGF.Non.TT,,,,,,,,,,,,,,,,,,,
D: TpK.Non.v.TpS.Non.TT,,,,,,,,,,,,,,,,,,,
>> A.only (TGF.Non.v.CON.Non.TT),,,,,,,,,,,,,,,,,,,
,,,,A,,,,,,,,,,,,,,,
PROBE_ID,ILMN_GENE,ACCESSION,CHROMOSOME,FDR_TGF.Non.v.CON.NonNA,FC_TGF.Non.v.CON.Non,AveExpr_TGF.Non.v.CON.Non,t_TGF.Non.v.CON.Non,,,,,,,,,,,,
ILMN_1674719,NID1,NM_002508.2,1,0.014883685,1.52034414,7.600763342,3.574140452,,,,,,,,,,,,
ILMN_1805916,NIPSNAP1,NM_003634.1,22,0.001057966,1.521442195,8.404892553,4.994045289,,,,,,,,,,,,
ILMN_1717234,CAST,NM_001042445.1,5,0.000567205,1.521631768,9.033168074,5.34509116,,,,,,,,,,,,
ILMN_2124386,RGL2,NM_004761.2,6,0.015932914,1.521658258,7.325711964,3.538318215,,,,,,,,,,,,
ILMN_1791494,SYNPO2,XM_942780.2,,0.028128593,1.522059234,7.057542335,3.220173621,,,,,,,,,,,,
ILMN_1795400,TBCD,NM_005993.4,17,0.009132448,1.522368106,8.683915343,3.838253334,,,,,,,,,,,,
ILMN_1708987,HSD11B1L,NM_198708.1,19,0.00062657,1.522430653,7.287513946,5.286690589,,,,,,,,,,,,
ILMN_1678678,SLC37A4,NM_001467.4,11,0.000311259,1.523131328,8.748892091,5.685118235,,,,,,,,,,,,
ILMN_1715013,ERMAP,NM_001017922.1,1,0.017009559,1.523346614,8.733233545,3.501047541,,,,,,,,,,,,
ILMN_1769091,PRCP,NM_199418.2,11,4.09E-05,1.52390956,11.8467689,6.865136199,,,,,,,,,,,,
ILMN_1743747,RUSC1,NM_014328.2,1,0.001504995,1.524156262,9.894559897,4.805864701,,,,,,,,,,,,
ILMN_1804737,RAVER2,NM_018211.2,1,0.001386592,1.5242391,6.936505254,4.849689402,,,,,,,,,,,,
ILMN_1670037,POLR2L,NM_021128.3,11,0.02632582,1.524310462,8.456983311,3.258066653,,,,,,,,,,,,
ILMN_1687971,CAPN3,NM_024344.1,15,0.000264229,1.525250065,6.828096811,5.776139357,,,,,,,,,,,,
ILMN_1656676,ZYG11B,NM_024646.1,1,0.016077613,1.525384602,9.871223867,3.533141876,,,,,,,,,,,,
ILMN_2158003,KIAA1683,NM_025249.1,19,0.000447108,1.525826434,6.781430175,5.479647954,,,,,,,,,,,,
ILMN_2232478,APOBEC3G,NM_021822.1,22,8.20E-05,1.52629995,6.922010087,6.442119068,,,,,,,,,,,,
ILMN_1703005,IFP38,NM_031943.1,,0.003833794,1.526345465,9.916910551,4.301810435,,,,,,,,,,,,
ILMN_1814726,SCARB2,NM_005506.2,4,0.002298932,1.526702706,11.97540461,4.576447587,,,,,,,,,,,,
ILMN_2142752,MANSC1,NM_018050.2,12,0.001226434,1.526866471,6.719814884,4.914438611,,,,,,,,,,,,
ILMN_1781952,MGST1,NM_020300.3,12,0.009857194,1.527421182,10.03714047,3.798387446,,,,,,,,,,,,
ILMN_3289745,LOC339352,XR_019601.2,,0.015358563,1.527603052,7.25009858,3.557254363,,,,,,,,,,,,
ILMN_1763524,LZTS2,NM_032429.1,10,0.001318887,1.527803622,7.643893065,4.875370366,,,,,,,,,,,,
ILMN_1697639,OGT,NM_181673.1,X,0.013699537,1.527999566,10.1326403,3.619144654,,,,,,,,,,,,
ILMN_3243928,DDX60L,NM_001012967.1,4,0.004263546,1.528535124,6.881986671,4.246066126,,,,,,,,,,,,
ILMN_1655740,SNAI2,NM_003068.3,8,0.023404821,1.528753522,9.64013758,3.322877388,,,,,,,,,,,,
ILMN_1785380,SLC1A2,NM_004171.3,11,0.012585831,1.528907642,6.514569816,3.665004964,,,,,,,,,,,,
ILMN_2374778,DUT,NM_001025249.1,15,0.000251701,1.52898027,7.459343157,5.804823953,,,,,,,,,,,,
ILMN_1750596,CLUAP1,NM_024793.1,16,0.041330602,1.528987649,7.342764681,3.000821582,,,,,,,,,,,,
ILMN_1788223,RSPH3,NM_031924.3,6,0.00037642,1.529248901,7.345441884,5.578442303,,,,,,,,,,,,
ILMN_1878029,HS.202577,AK091904,3,0.036409386,1.529351552,8.472668998,3.073582269,,,,,,,,,,,,
ILMN_1704972,TRIM5,NM_033034.1,11,0.009471872,1.529594815,8.019837127,3.818293702,,,,,,,,,,,,
ILMN_2145396,AKR7A3,NM_012067.2,1,0.001187544,1.529701649,9.027497284,4.9335624,,,,,,,,,,,,
ILMN_1700733,KIAA1370,NM_019600.2,15,0.010786416,1.529807593,7.758703622,3.75175079,,,,,,,,,,,,
ILMN_1660199,ACAA2,NM_006111.1,18,0.00988553,1.530279505,9.019709397,3.796712393,,,,,,,,,,,,
ILMN_1760201,DNMT1,NM_001379.1,19,0.030049759,1.530716082,10.78428318,3.182540318,,,,,,,,,,,,
ILMN_1754045,FANCL,NM_018062.2,2,0.00224302,1.53076864,7.55739999,4.588942704,,,,,,,,,,,,
ILMN_2091412,FLT3LG,NM_001459.2,19,0.000463711,1.531163784,6.914127996,5.458008875,,,,,,,,,,,,
ILMN_1767365,PAK1,NM_002576.3,11,0.046053806,1.531727199,8.110224088,2.939312263,,,,,,,,,,,,
ILMN_1752340,ARF5,NM_001662.2,7,0.001225955,1.531803659,9.797561393,4.915246767,,,,,,,,,,,,
ILMN_1761797,CSTB,NM_000100.2,21,0.009035867,1.53208442,12.12207198,3.844162097,,,,,,,,,,,,
ILMN_3214052,LOC644877,XR_038951.1,,0.000168131,1.532158823,8.58023723,6.036632419,,,,,,,,,,,,
ILMN_2184184,ANXA1,NM_000700.1,9,0.000443547,1.533309676,12.77469253,5.48424092,,,,,,,,,,,,
ILMN_1743340,CHST14,NM_130468.2,15,0.000441855,1.533617666,8.297836448,5.487009308,,,,,,,,,,,,
ILMN_1714861,CD68,NM_001251.1,17,0.017713925,1.533620499,10.92922822,3.478452558,,,,,,,,,,,,
ILMN_1657632,ZMYM6,NM_007167.2,1,0.04055767,1.533624013,10.22826021,3.011652018,,,,,,,,,,,,
ILMN_1680196,LAPTM4B,NM_018407.4,8,0.014931999,1.533664053,10.25201546,3.57244914,,,,,,,,,,,,
ILMN_1674380,TRPC1,NM_003304.4,3,0.008715339,1.534222921,7.956437254,3.864619038,,,,,,,,,,,,
ILMN_1723709,C9ORF116,NM_144654.2,9,0.000664826,1.534605711,7.115853827,5.253018111,,,,,,,,,,,,
ILMN_1774596,BSCL2,NM_032667.4,11,0.003060663,1.535240685,10.32489118,4.419783627,,,,,,,,,,,,
ILMN_1678705,FLJ35220,NM_173627.2,17,0.000515951,1.535561204,6.970239965,5.395306014,,,,,,,,,,,,
ILMN_1773764,CECR7,XM_927968.1,22,0.007222999,1.536376904,8.942355367,3.963786419,,,,,,,,,,,,
ILMN_1690807,MKL2,NM_014048.3,16,0.000251241,1.536429181,6.880268857,5.806614099,,,,,,,,,,,,
ILMN_2089977,FKBP9L,NM_182827.1,7,0.00125205,1.53647844,12.24887209,4.902733289,,,,,,,,,,,,
ILMN_1773417,AKR1C2,XM_943415.1,,0.000961771,1.536493875,6.380808975,5.04519633,,,,,,,,,,,,
ILMN_2392356,CTPS2,NM_175859.1,X,0.000120544,1.536801199,6.849733177,6.223154049,,,,,,,,,,,,
ILMN_2172969,STXBP6,NM_014178.6,14,0.000161779,1.537091981,6.68534819,6.05956055,,,,,,,,,,,,
ILMN_1712452,KIF20B,NM_016195.2,10,0.001929899,1.537245112,6.981366313,4.670934349,,,,,,,,,,,,
ILMN_1700955,TCTEX1D2,NM_152773.2,3,0.004931678,1.537388099,9.373687084,4.170789508,,,,,,,,,,,,
ILMN_1708016,C20ORF108,NM_080821.2,20,0.001730183,1.537495393,9.770158838,4.731047515,,,,,,,,,,,,
ILMN_1679279,SYPL2,NM_001040709.1,1,0.002256077,1.53781691,6.537681303,4.585971687,,,,,,,,,,,,
ILMN_1785191,TMEM14A,NM_014051.3,6,0.005165238,1.537830422,9.146658847,4.145081985,,,,,,,,,,,,
ILMN_3200330,LOC399988,XR_018287.2,,0.002703566,1.537927663,11.74396845,4.487878511,,,,,,,,,,,,
ILMN_1738604,ADH5,NM_000671.3,4,0.007576396,1.538336782,8.44916946,3.939378771,,,,,,,,,,,,
ILMN_1804679,MYST1,NM_032188.1,16,0.00047665,1.538437903,8.258679701,5.441555641,,,,,,,,,,,,
ILMN_2127605,LRP3,NM_002333.1,19,0.025526228,1.538623244,9.813908171,3.274872115,,,,,,,,,,,,
ILMN_1733675,MPP1,NM_002436.2,X,0.005565479,1.538633947,7.973362647,4.10630279,,,,,,,,,,,,
ILMN_2366972,NUDT6,NM_007083.3,4,0.000597165,1.538944646,7.246035126,5.31270355,,,,,,,,,,,,
ILMN_1727084,ADAMTSL1,NM_001040272.4,9,0.002041649,1.539658384,7.777684773,4.64174036,,,,,,,,,,,,
ILMN_1665526,TCEA2,NM_198723.1,20,0.017819072,1.540060297,9.499156558,3.475231712,,,,,,,,,,,,
ILMN_3251132,TMOD2,NM_001142885.1,15,0.008156627,1.540490976,7.183995877,3.899644111,,,,,,,,,,,,
ILMN_2233401,FTHL8,NR_002203.1,X,0.027331489,1.540614812,7.715456813,3.237166513,,,,,,,,,,,,
ILMN_3237956,ZC3H12C,NM_033390.1,11,0.002130289,1.540725804,7.470360362,4.617129882,,,,,,,,,,,,
ILMN_1814044,CABIN1,NM_012295.2,22,0.003105024,1.541182729,7.52805549,4.412151384,,,,,,,,,,,,
ILMN_1746393,TSEN2,NM_025265.2,3,0.007479388,1.54131283,8.101211705,3.945501769,,,,,,,,,,,,
ILMN_1751234,C1GALT1C1,NM_152692.3,X,0.006706594,1.541546234,9.591802335,4.005765127,,,,,,,,,,,,
ILMN_1703379,VPS41,NM_014396.2,7,0.00061319,1.541962944,9.964259812,5.29777485,,,,,,,,,,,,
ILMN_1757847,C11ORF68,NM_031450.2,11,0.002540177,1.5421659,8.415744676,4.523343968,,,,,,,,,,,,
ILMN_2396996,PPCS,NM_001077447.1,1,0.000861912,1.542877848,9.28239719,5.108630382,,,,,,,,,,,,
ILMN_1705250,ADAMTSL1,NM_052866.3,9,0.047676574,1.543323738,7.969974819,2.917150093,,,,,,,,,,,,
ILMN_2320349,BACE1,NM_138972.2,11,0.018735511,1.545446257,8.276944952,3.446936103,,,,,,,,,,,,
ILMN_1656129,SLC39A10,NM_020342.1,2,0.039682145,1.545485918,7.518412773,3.024336681,,,,,,,,,,,,
ILMN_2325185,TYSND1,NM_173555.2,10,0.000339139,1.54671461,6.504694211,5.640102571,,,,,,,,,,,,
ILMN_1658469,TP53AP1,NM_007233.1,7,0.000232307,1.54691772,7.534064296,5.853753564,,,,,,,,,,,,
ILMN_1792384,HABP4,NM_014282.1,9,0.000600538,1.547260678,7.898234388,5.308937157,,,,,,,,,,,,
ILMN_1768510,MAN2B2,NM_015274.1,4,5.78E-06,1.547521477,11.3936372,8.104061155,,,,,,,,,,,,
ILMN_1659029,FAM116B,NM_001001794.2,,0.000543066,1.547819587,7.528007192,5.367076323,,,,,,,,,,,,
ILMN_3236637,PIP4K2A,NM_005028.4,10,0.000370572,1.54827119,9.975322076,5.587066422,,,,,,,,,,,,
ILMN_3234615,LOC728650,XR_042473.1,,0.001057966,1.548663534,7.976384207,4.993700345,,,,,,,,,,,,
ILMN_1814917,TLE2,NM_003260.3,19,0.001532154,1.549265657,6.906396483,4.795818361,,,,,,,,,,,,
ILMN_1796179,HIST1H2BK,NM_080593.1,6,0.001280554,1.549379051,11.26708668,4.890341779,,,,,,,,,,,,
ILMN_1718718,MKKS,NM_170784.1,20,0.032821485,1.549426209,9.162301219,3.132574636,,,,,,,,,,,,
ILMN_1803676,ENOSF1,NM_017512.2,18,0.009658346,1.549775976,7.862944943,3.80852638,,,,,,,,,,,,
ILMN_1792305,ZNF318,NM_014345.1,6,0.000130254,1.54985606,8.449429481,6.179512455,,,,,,,,,,,,
ILMN_1660186,SYF2,NM_015484.4,1,0.00099925,1.549890714,9.86544329,5.025372914,,,,,,,,,,,,
ILMN_1672878,ABR,NM_001092.3,17,0.000676905,1.550081689,10.4529758,5.241175384,,,,,,,,,,,,
ILMN_1666364,COQ10A,NM_144576.3,12,0.000426288,1.55011436,7.787351578,5.505921172,,,,,,,,,,,,
ILMN_2043265,ZFP106,NM_022473.1,15,0.001655294,1.550812465,9.716577028,4.754659919,,,,,,,,,,,,
ILMN_1746525,FTHL2,NR_002200.1,1,0.004572644,1.551266417,12.89662639,4.210670514,,,,,,,,,,,,
ILMN_1726289,C12ORF35,NM_018169.2,12,0.005216246,1.551718852,6.992104678,4.139684194,,,,,,,,,,,,
ILMN_2357361,THYN1,NM_199298.1,11,0.003916197,1.55184074,8.850037406,4.290630965,,,,,,,,,,,,
ILMN_1769394,PLCD1,NM_006225.2,3,0.01813369,1.551988907,7.354749945,3.464420545,,,,,,,,,,,,
ILMN_1752213,TMEM60,NM_032936.2,7,0.000111318,1.552790943,9.973131226,6.268965047,,,,,,,,,,,,
ILMN_1675684,APOBEC3C,NM_014508.2,22,7.09E-05,1.552902658,7.426342017,6.528202824,,,,,,,,,,,,
ILMN_1738866,DEXI,NM_014015.3,16,0.003853324,1.553489055,9.662111708,4.299367941,,,,,,,,,,,,
ILMN_3299558,SFRS18,NM_015491.1,6,0.021872077,1.554088259,8.477479724,3.360128527,,,,,,,,,,,,
ILMN_2151056,C10ORF32,NM_144591.1,10,0.011823447,1.554108171,9.01469705,3.699908187,,,,,,,,,,,,
ILMN_1687384,IFI6,NM_022873.2,1,0.00096025,1.554154654,10.6875398,5.046183465,,,,,,,,,,,,
ILMN_1752793,SAP18,NM_005870.3,13,5.30E-05,1.55440318,8.103060933,6.708519748,,,,,,,,,,,,
ILMN_3251565,RNASEH2C,NM_032193.3,11,0.000599574,1.554466311,7.179831842,5.309985961,,,,,,,,,,,,
ILMN_2143155,KIF11,NM_004523.2,10,0.001600223,1.554945227,6.579774671,4.773899014,,,,,,,,,,,,
ILMN_1695864,LOC652669,XM_942246.1,,0.0001204,1.555127341,6.727316408,6.224456769,,,,,,,,,,,,
ILMN_1682567,CCDC106,NM_013301.2,19,0.000634259,1.555435805,8.843900963,5.279210867,,,,,,,,,,,,
ILMN_1765204,ST13,NM_003932.3,22,0.007149776,1.555667461,10.00589244,3.970573115,,,,,,,,,,,,
ILMN_2361570,SNX14,NM_020468.2,6,0.003063096,1.555999547,9.305162377,4.419293302,,,,,,,,,,,,
ILMN_1760174,MCCC1,NM_020166.3,3,0.000601023,1.556355067,8.363365419,5.308129536,,,,,,,,,,,,
ILMN_1735151,EIF5A2,NM_020390.5,3,0.013509827,1.556415281,8.10629521,3.626662321,,,,,,,,,,,,
ILMN_1710220,LOC729985,XM_001131964.1,2,0.00119854,1.556607538,6.89419059,4.928406103,,,,,,,,,,,,
ILMN_1686679,ZNF462,NM_021224.4,9,0.02039113,1.556651525,7.402096306,3.398774159,,,,,,,,,,,,
ILMN_1801236,SPG20,NM_015087.3,13,0.016698936,1.55682576,7.382237461,3.512537289,,,,,,,,,,,,
ILMN_1668582,CRBN,NM_016302.2,3,0.006464966,1.557225298,8.557925141,4.024894355,,,,,,,,,,,,
ILMN_1672717,C10ORF57,NM_025125.2,10,0.011446052,1.557510392,8.21277857,3.71841257,,,,,,,,,,,,
ILMN_1767766,PRDX2,NM_181738.1,19,0.000134018,1.558194072,9.792690579,6.16344073,,,,,,,,,,,,
ILMN_1803277,MVP,NM_005115.3,16,0.012747545,1.558333478,10.19395721,3.657329549,,,,,,,,,,,,
ILMN_1760245,TMEM42,NM_144638.1,3,0.005273931,1.559028452,9.261550163,4.134245925,,,,,,,,,,,,
ILMN_1766851,TMEM126B,NM_018480.2,11,6.28E-05,1.559227469,10.16223464,6.599955261,,,,,,,,,,,,
ILMN_2148668,RCBTB2,NM_001268.2,13,0.029839612,1.559835717,7.427130261,3.186699442,,,,,,,,,,,,
ILMN_2355225,LSP1,NM_001013255.1,11,6.29E-05,1.560868163,7.916170798,6.597952039,,,,,,,,,,,,
ILMN_1714473,ZNF436,NM_030634.1,1,0.009726555,1.561302534,7.264345713,3.805080724,,,,,,,,,,,,
ILMN_2157709,C14ORF19,NR_002937.1,14,0.001856042,1.561585,7.0805631,4.692596974,,,,,,,,,,,,
ILMN_1813528,CCBE1,NM_133459.1,18,0.000694932,1.561670799,6.543027511,5.226255562,,,,,,,,,,,,
ILMN_1655422,RPL17,NM_000985.2,18,6.40E-05,1.562160797,11.11344464,6.587621763,,,,,,,,,,,,
ILMN_1712487,LGTN,NM_006893.2,1,1.76E-05,1.562262556,9.406890848,7.396491304,,,,,,,,,,,,
ILMN_1756920,ADAM15,NM_207195.1,1,0.003817394,1.562396339,10.82032282,4.304062073,,,,,,,,,,,,
ILMN_1667239,INPP1,NM_002194.2,2,1.13E-05,1.563271663,9.452602546,7.676277087,,,,,,,,,,,,
ILMN_1741180,HEXDC,NM_173620.2,17,4.03E-05,1.563619745,7.015865778,6.874030987,,,,,,,,,,,,
ILMN_1723124,GALK2,NM_001001556.1,15,9.36E-05,1.56389439,6.842433633,6.368499668,,,,,,,,,,,,
ILMN_1796106,MGAT4B,NM_054013.2,5,0.002232955,1.564094207,8.61390024,4.591694576,,,,,,,,,,,,
ILMN_1652128,LMBRD1,NM_018368.2,6,0.003089351,1.564186396,10.29108681,4.414602819,,,,,,,,,,,,
ILMN_1806123,MRPL23,NM_021134.2,11,0.00242486,1.564239866,9.670882805,4.54898802,,,,,,,,,,,,
ILMN_1743767,ZNF446,NM_017908.2,19,0.000128443,1.565053633,7.52520369,6.187751685,,,,,,,,,,,,
ILMN_1778360,PYGB,NM_002862.3,20,5.85E-05,1.565346246,9.68223974,6.643672942,,,,,,,,,,,,
ILMN_1768227,DCN,NM_133503.2,12,0.019338744,1.565519692,12.57654863,3.429306269,,,,,,,,,,,,
ILMN_1696911,FTHL8,NR_002203.1,X,0.014043107,1.565724523,13.33299714,3.606075731,,,,,,,,,,,,
ILMN_1688625,AIM1,NM_001624.2,6,0.00037592,1.56584217,6.728736498,5.579316019,,,,,,,,,,,,
ILMN_1811779,MGC24103,XR_001080.1,9,0.049283219,1.566252624,7.219715428,2.897964244,,,,,,,,,,,,
ILMN_3244607,FAM117B,NM_173511.2,2,0.005164883,1.566337055,7.317661497,4.145494632,,,,,,,,,,,,
ILMN_3243297,LOC641814,XM_935998.3,7,0.000150812,1.566437424,13.41360877,6.098029681,,,,,,,,,,,,
ILMN_1692058,NDN,NM_002487.2,15,0.000267626,1.566640739,11.12212324,5.769190653,,,,,,,,,,,,
ILMN_1786105,PCBD1,NM_000281.2,10,0.046806034,1.566720601,8.347831723,2.929544075,,,,,,,,,,,,
ILMN_2405009,NBL1,NM_005380.4,1,0.045319833,1.566820094,11.23406917,2.94849364,,,,,,,,,,,,
ILMN_1800796,RPL37,NM_000997.3,5,0.013519714,1.567197927,8.108121278,3.626140698,,,,,,,,,,,,
ILMN_1806692,HEXB,NM_000521.2,5,0.001031102,1.567406543,12.25393211,5.008950428,,,,,,,,,,,,
ILMN_1810864,PMP22,NM_153321.1,17,0.022124443,1.56747531,8.54672901,3.353619976,,,,,,,,,,,,
ILMN_1697971,TRIM38,NM_006355.2,6,0.002044185,1.567535118,7.467965074,4.641038831,,,,,,,,,,,,
ILMN_1685854,C5ORF53,NM_001007189.1,5,0.009449134,1.567629357,8.559855233,3.81948519,,,,,,,,,,,,
ILMN_1753472,SUMF1,NM_182760.2,3,0.000112407,1.567816633,9.869780352,6.262264623,,,,,,,,,,,,
ILMN_1754279,FBXW7,NM_033632.2,4,0.005391665,1.567985548,8.264945845,4.123022565,,,,,,,,,,,,
ILMN_2115218,ANKRD10,NM_017664.2,13,0.003835126,1.568094242,8.399063682,4.301518218,,,,,,,,,,,,
ILMN_1765222,CARS2,NM_024537.1,13,0.018052842,1.568390514,8.040408496,3.466918729,,,,,,,,,,,,
ILMN_1721712,SYNGR1,NM_145731.2,22,0.00050438,1.569203177,6.626214854,5.408457362,,,,,,,,,,,,
ILMN_2394498,SYF2,NM_015484.4,1,0.003229054,1.569607613,10.43575339,4.391593222,,,,,,,,,,,,
ILMN_1698478,SNAPC2,NM_003083.2,19,0.010960353,1.569672506,8.540680861,3.743250137,,,,,,,,,,,,
ILMN_1700067,BTN3A2,NM_007047.3,6,0.000397409,1.569919627,6.670661023,5.548590318,,,,,,,,,,,,
ILMN_2404385,REPIN1,NM_014374.1,7,0.014988754,1.570246681,9.430028596,3.570623945,,,,,,,,,,,,
ILMN_1770641,KLHL3,NM_017415.1,5,0.000475478,1.571360983,6.580745002,5.443306012,,,,,,,,,,,,
ILMN_1726421,METTL9,NM_016025.3,16,1.39E-05,1.572292398,7.36882931,7.555154911,,,,,,,,,,,,
ILMN_1729208,NGFRAP1,NM_206917.1,X,0.010158386,1.573002109,10.32484896,3.782874593,,,,,,,,,,,,
ILMN_1661833,ANKRD12,NM_015208.3,18,0.019590177,1.573031898,8.069268722,3.422233084,,,,,,,,,,,,
ILMN_2359601,CAMK2G,NM_172172.1,10,0.003049635,1.573263195,7.525001119,4.422388612,,,,,,,,,,,,
ILMN_3230215,TOX2,NM_001098796.1,20,0.009344216,1.573288363,6.910214372,3.825663965,,,,,,,,,,,,
ILMN_1767360,IL10RB,NM_000628.3,21,9.86E-05,1.573436884,8.339155291,6.337702333,,,,,,,,,,,,
ILMN_1663132,ADCK2,NM_052853.3,7,0.000585383,1.574336917,8.234995983,5.324106621,,,,,,,,,,,,
ILMN_1655177,PIK4CA,NM_002650.1,22,0.002887339,1.574443635,10.00823244,4.452386207,,,,,,,,,,,,
ILMN_1652638,LRRC58,XM_938862.2,,0.033676752,1.574504746,7.738660991,3.118685438,,,,,,,,,,,,
ILMN_2343310,DYNC2H1,NM_001080463.1,11,0.025766352,1.574982795,8.731498905,3.269489928,,,,,,,,,,,,
ILMN_1800733,MANBA,NM_005908.3,4,0.049321543,1.575119889,9.720085133,2.897485153,,,,,,,,,,,,
ILMN_2065773,SCG5,NM_003020.1,15,0.029009228,1.575869243,8.534799775,3.202647385,,,,,,,,,,,,
ILMN_1810334,COMMD7,NM_001099339.1,20,0.018828962,1.57624036,10.7091285,3.44364779,,,,,,,,,,,,
ILMN_1720595,MDGA1,NM_153487.3,6,0.049468309,1.576326871,7.071846137,2.89586451,,,,,,,,,,,,
ILMN_2098437,FAM10A4,NR_002183.1,13,0.038539888,1.576500909,7.839423093,3.040436993,,,,,,,,,,,,
ILMN_2370091,NGFRAP1,NM_206917.1,X,8.10E-05,1.576701543,11.85113695,6.451344891,,,,,,,,,,,,
ILMN_1764396,HDAC4,NM_006037.3,2,0.020064889,1.57754028,7.137291755,3.408532295,,,,,,,,,,,,
ILMN_2251978,C21ORF66,NM_016631.3,21,0.004039893,1.577824496,8.622380811,4.27372236,,,,,,,,,,,,
ILMN_1762224,HPS3,NM_032383.3,3,0.000625124,1.577920019,7.568265791,5.288181376,,,,,,,,,,,,
ILMN_1763091,C14ORF43,NM_194278.3,14,0.002801775,1.578031402,8.27450497,4.468746459,,,,,,,,,,,,
ILMN_1766261,SLC2A12,NM_145176.2,6,0.00037677,1.578039209,6.612882867,5.577744757,,,,,,,,,,,,
ILMN_1917290,HS.537004,BC040653,X,0.007642715,1.578086916,8.323924795,3.934467344,,,,,,,,,,,,
ILMN_1810214,JUND,NM_005354.3,19,0.002184969,1.578702519,12.17708617,4.603801398,,,,,,,,,,,,
ILMN_1788701,PSIP1,NM_033222.2,9,0.024808314,1.57909287,8.906385655,3.290865836,,,,,,,,,,,,
ILMN_1657968,MAP2K2,NM_030662.2,19,0.008379647,1.579462248,9.396942232,3.884513505,,,,,,,,,,,,
ILMN_1735779,KCNJ8,NM_004982.2,12,0.032748268,1.579790393,7.666866728,3.133716017,,,,,,,,,,,,
ILMN_2357438,AURKA,NM_198434.1,20,0.020391151,1.580674325,6.85909158,3.398679972,,,,,,,,,,,,
ILMN_1738438,MAST4,NM_198828.2,5,0.00263745,1.58110625,6.55918315,4.502225992,,,,,,,,,,,,
ILMN_1701006,HEXIM2,NM_144608.1,17,3.34E-05,1.581166758,6.775275812,6.998047189,,,,,,,,,,,,
ILMN_1713636,S100A6,NM_014624.3,1,4.55E-05,1.581521873,13.58774096,6.804503534,,,,,,,,,,,,
ILMN_1654385,ASB13,NM_024701.2,10,0.000286712,1.58239778,7.405173228,5.732939027,,,,,,,,,,,,
ILMN_1796490,GRINA,NM_000837.1,8,0.001055075,1.582485383,9.173275532,4.995750749,,,,,,,,,,,,
ILMN_1705302,FCGRT,NM_004107.3,19,0.008319824,1.58286428,10.11352577,3.88921537,,,,,,,,,,,,
ILMN_1726574,CACYBP,NM_014412.2,1,5.29E-05,1.583359112,9.223689196,6.712166539,,,,,,,,,,,,
ILMN_2116127,NPEPPS,NM_006310.2,17,0.0004075,1.583727035,9.281371427,5.533606693,,,,,,,,,,,,
ILMN_1700541,FBLN1,NM_001996.2,22,0.000910679,1.58400995,12.26677862,5.074891808,,,,,,,,,,,,
ILMN_1797793,BLVRB,NM_000713.1,,0.004069882,1.584043752,7.902130669,4.270447149,,,,,,,,,,,,
ILMN_2389273,FXR1,NM_005087.2,3,0.021908076,1.584114016,9.278506502,3.359051452,,,,,,,,,,,,
ILMN_1781560,ST3GAL6,NM_006100.2,3,0.018841557,1.585193529,7.045359704,3.443073087,,,,,,,,,,,,
ILMN_1673207,KLF11,XM_001129527.1,,0.011797248,1.585593415,7.379316084,3.701178666,,,,,,,,,,,,
ILMN_1697629,PLA2G4B,NM_005090.2,15,0.00255717,1.585595446,7.398338685,4.519386494,,,,,,,,,,,,
ILMN_3244096,ZFC3H1,NM_144982.4,12,0.007637417,1.585878869,8.261783967,3.935004508,,,,,,,,,,,,
ILMN_1760556,C1ORF63,NM_207035.1,1,0.010410425,1.586400503,7.735335409,3.770200586,,,,,,,,,,,,
ILMN_2072541,RAB11FIP2,NM_014904.1,10,0.003070553,1.587337519,8.631451263,4.417812524,,,,,,,,,,,,
ILMN_1738987,HS2ST1,NM_012262.2,1,0.002908308,1.587458182,7.200807451,4.448552375,,,,,,,,,,,,
ILMN_1740685,LOC652541,XM_942032.1,,0.006827733,1.587534839,6.880932086,3.995455592,,,,,,,,,,,,
ILMN_1779163,C11ORF67,NM_024684.2,11,0.004438889,1.587870795,9.523063066,4.225058098,,,,,,,,,,,,
ILMN_2131861,SOCS2,NM_003877.3,12,0.010290124,1.588151412,7.668818941,3.776720888,,,,,,,,,,,,
ILMN_3202024,LOC392437,XR_037197.1,,0.002905527,1.588253334,13.60897068,4.44927028,,,,,,,,,,,,
ILMN_1718520,C10ORF59,NM_001031709.1,10,0.000532581,1.588907561,8.142460421,5.378383163,,,,,,,,,,,,
ILMN_1786976,RAB22A,NM_020673.2,20,0.018767251,1.58921702,9.704299704,3.445921128,,,,,,,,,,,,
ILMN_2385161,CUL4B,NM_001079872.1,X,0.007755059,1.589798507,7.962981499,3.926183676,,,,,,,,,,,,
ILMN_1708041,PLEKHF1,NM_024310.4,19,0.029450049,1.589828183,9.23516059,3.194377489,,,,,,,,,,,,
ILMN_1798164,PHF3,NM_015153.1,6,0.006848284,1.590441742,9.671425266,3.993931871,,,,,,,,,,,,
ILMN_2356284,PFDN5,NM_145897.2,12,7.48E-05,1.59087005,12.39526438,6.495803176,,,,,,,,,,,,
ILMN_1810875,SYNGR1,NM_004711.3,22,0.004192924,1.590916456,7.068137939,4.254414199,,,,,,,,,,,,
ILMN_1737416,PGBD3,NM_170753.1,10,0.010224283,1.59093062,7.494407174,3.779900993,,,,,,,,,,,,
