A: TGF.Non.v.CON.Non.TT,,,,,,,,,,,,,,,,,,,
B: TpS.Non.v.TGF.Non.TT,,,,,,,,,,,,,,,,,,,
C: TpK.Non.v.TGF.Non.TT,,,,,,,,,,,,,,,,,,,
D: TpK.Non.v.TpS.Non.TT,,,,,,,,,,,,,,,,,,,
>> A.only (TGF.Non.v.CON.Non.TT),,,,,,,,,,,,,,,,,,,
,,,,A,,,,,,,,,,,,,,,
PROBE_ID,ILMN_GENE,ACCESSION,CHROMOSOME,FDR_TGF.Non.v.CON.NonNA,FC_TGF.Non.v.CON.Non,AveExpr_TGF.Non.v.CON.Non,t_TGF.Non.v.CON.Non,,,,,,,,,,,,
ILMN_3308240,MIR764,NR_031581.1,,0.035679419,-1.190668206,6.11335678,-3.340287791,,,,,,,,,,,,
ILMN_2145423,DET1,NM_017996.2,15,0.044408233,-1.19002007,7.772627073,-3.205079461,,,,,,,,,,,,
ILMN_3208056,LOC648294,XR_018553.2,,0.037677977,-1.188865881,13.23356635,-3.305542131,,,,,,,,,,,,
ILMN_1688665,LOC646227,XM_929177.2,5,0.037748175,-1.182250857,6.111883653,-3.304317142,,,,,,,,,,,,
ILMN_2382271,NCKIPSD,NM_016453.2,3,0.037132081,-1.180430786,6.282062495,-3.314661269,,,,,,,,,,,,
ILMN_3268717,LOC100129674,XM_001724421.1,,0.046285405,-1.177075629,6.426427968,-3.181570437,,,,,,,,,,,,
ILMN_1678631,LOC653410,XM_927285.1,19,0.038601261,-1.170476024,6.144235378,-3.289776237,,,,,,,,,,,,
ILMN_1753658,C6ORF118,NM_144980.2,,0.036851137,-1.168367504,6.137411085,-3.319779225,,,,,,,,,,,,
ILMN_1811599,OR52B6,NM_001005162.2,11,0.038482064,-1.167359245,6.299708368,-3.291807663,,,,,,,,,,,,
ILMN_1763560,NFKBID,NM_139239.1,19,0.038575062,-1.164862191,6.326674801,-3.290485977,,,,,,,,,,,,
ILMN_1746788,TRIM10,NM_052828.1,6,0.048435855,-1.156597812,6.168583829,-3.153527628,,,,,,,,,,,,
ILMN_1692365,KCTD1,NM_198991.1,18,0.034008153,1.156502621,6.244645226,3.370254373,,,,,,,,,,,,
ILMN_1738529,BCS1L,NM_001079866.1,2,0.044932708,1.17151651,8.089774377,3.197737647,,,,,,,,,,,,
ILMN_1722858,PPP2CA,NM_002715.2,5,0.030944835,1.18009231,11.79329664,3.43108164,,,,,,,,,,,,
ILMN_1752665,ELMO3,NM_024712.3,16,0.03995772,1.181732043,6.31973127,3.266310062,,,,,,,,,,,,
ILMN_1722674,MGC3196,XM_938324.1,,0.038141343,1.184033345,6.760191537,3.297044301,,,,,,,,,,,,
ILMN_3273431,LOC100128354,XM_001725150.1,11,0.039040095,1.18732251,6.231338297,3.280745128,,,,,,,,,,,,
ILMN_3203976,LOC392008,XR_017366.2,7,0.042056942,1.19082131,6.749664523,3.236147584,,,,,,,,,,,,
ILMN_2399489,CBFB,NM_001755.2,16,0.027565927,1.191500649,6.149277946,3.500393487,,,,,,,,,,,,
ILMN_1729639,CLDN20,NM_001001346.2,6,0.025766495,1.197580847,6.390093392,3.544406141,,,,,,,,,,,,
ILMN_2348512,ZXDC,NM_001040653.1,3,0.042056942,1.197966198,6.475138039,3.236252568,,,,,,,,,,,,
ILMN_2415157,ARID5A,NM_212481.1,2,0.045949073,1.198149309,6.387761793,3.185909369,,,,,,,,,,,,
ILMN_1676058,MAGOHB,NM_018048.2,12,0.033145454,1.200460958,6.392115372,3.386476542,,,,,,,,,,,,
ILMN_3254147,LOC100128657,XR_039030.1,,0.023163027,1.200850718,6.227335621,3.613153636,,,,,,,,,,,,
ILMN_3241928,LOC100133418,XM_001714459.1,,0.048514723,1.201742712,6.146540407,3.152117066,,,,,,,,,,,,
ILMN_3228470,NACAD,XM_001133202.2,7,0.031925865,1.201832016,6.326421027,3.410677321,,,,,,,,,,,,
ILMN_1768953,SDC1,NM_002997.4,2,0.03438698,1.201930186,6.252087204,3.363726295,,,,,,,,,,,,
ILMN_1685676,TTC9C,NM_173810.3,11,0.032766734,1.202166786,6.690550726,3.394544826,,,,,,,,,,,,
ILMN_3238832,RBMY3AP,NR_001573.1,Y,0.023659903,1.206772363,6.28933459,3.599072392,,,,,,,,,,,,
ILMN_2200714,OR4F3,NM_001005224.1,5,0.039966731,1.207437685,6.111070946,3.265945651,,,,,,,,,,,,
ILMN_1777917,DSCR10,NM_148676.2,21,0.040889959,1.20755156,6.389514827,3.252655351,,,,,,,,,,,,
ILMN_2350266,FBXO46,NM_001080469.1,19,0.038186294,1.208320669,6.57100821,3.296117457,,,,,,,,,,,,
ILMN_1660868,ZBTB8OS,NM_178547.2,1,0.046625692,1.209417333,6.400318741,3.17603224,,,,,,,,,,,,
ILMN_1733654,CXORF40B,NM_001013845.1,X,0.037198664,1.209708996,6.638960661,3.313032368,,,,,,,,,,,,
ILMN_1780502,LOC641798,XM_935965.1,,0.02515535,1.2098088,7.082120981,3.559902011,,,,,,,,,,,,
ILMN_1652719,TMCO5A,NM_152453.2,15,0.031505054,1.210444688,6.206214479,3.419104102,,,,,,,,,,,,
ILMN_1915616,HS.412361,AI559179,2,0.01089829,1.211098839,6.257476547,4.068741868,,,,,,,,,,,,
ILMN_1911457,HS.539508,AI242955,12,0.045346949,1.211853009,6.198168719,3.193002311,,,,,,,,,,,,
ILMN_1687391,C3ORF35,NM_178342.2,3,0.031912237,1.212467687,6.379137095,3.411751364,,,,,,,,,,,,
ILMN_1668727,ARSB,NM_198709.1,5,0.041217448,1.216424428,6.307467555,3.248117358,,,,,,,,,,,,
ILMN_1764414,SOS2,NM_006939.2,14,0.047847448,1.217797661,6.516027581,3.160798871,,,,,,,,,,,,
ILMN_1852078,HS.44650,AA992078,13,0.017465286,1.218088781,6.255995103,3.778408113,,,,,,,,,,,,
ILMN_2174045,RNF126P1,NR_002818.1,17,0.048317011,1.219484273,6.314264826,3.154950986,,,,,,,,,,,,
ILMN_1833504,HS.47453,N54163,5,0.017228611,1.219986804,6.293134461,3.787106713,,,,,,,,,,,,
ILMN_1666111,YTHDC1,NM_001031732.2,4,0.028181104,1.220178564,6.208229013,3.486640314,,,,,,,,,,,,
ILMN_1751264,CCDC126,NM_138771.3,7,0.018106876,1.221143292,6.801849776,3.756758941,,,,,,,,,,,,
ILMN_1658740,PLGLA1,XM_934130.1,2,0.026152586,1.222997587,6.217585125,3.534421381,,,,,,,,,,,,
ILMN_1653453,MID1,NM_033290.1,X,0.049320316,1.223712043,6.23999859,3.140722051,,,,,,,,,,,,
ILMN_1680403,SSR4,NM_006280.1,X,0.027251688,1.22417618,12.40656581,3.507226524,,,,,,,,,,,,
ILMN_1682081,RNF19B,NM_153341.1,1,0.048179123,1.224738273,6.801961086,3.156710791,,,,,,,,,,,,
ILMN_1891247,HS.566479,CB043840,6,0.043782109,1.224941569,6.272391258,3.213233017,,,,,,,,,,,,
ILMN_3287464,LOC100133469,XM_001724642.1,,0.007954828,1.225172858,6.304229524,4.261174583,,,,,,,,,,,,
ILMN_2180773,FAM168A,NM_015159.1,11,0.016842828,1.227097492,6.146812646,3.800069176,,,,,,,,,,,,
ILMN_1804935,VNN3,NM_001024460.1,6,0.024882312,1.228899973,6.184708466,3.565660909,,,,,,,,,,,,
ILMN_1707945,HELB,NM_033647.2,12,0.037459453,1.228956923,6.246342333,3.308757591,,,,,,,,,,,,
